Line,block,group,year,Oil,Palmitic,Stearic,Oleic,Linoleic,Linolenic
153,6,PI,1,19.13,10.83,2.98,19.75,56.93,6.83
153,6,PI,2,20.38,10.43,2.32,23.14,55.31,6.57
124,3,PI,1,19.15,11.39,2.76,17.77,58.24,7.37
124,3,PI,2,20.68,11.59,2.46,21.9,54.69,6.78
152,2,PI,1,19.89,11.9,3.39,21.58,54.46,6.15
152,2,PI,2,18.78,10.96,2.98,28.31,49.34,5.91
128,6,PI,1,20.67,11.19,3.12,19.25,57.59,6.47
128,6,PI,2,20.89,10.96,2.73,22.3,55.2,6.28
129,3,PI,1,20.59,10.57,3.18,20.73,56.1,5.14
129,3,PI,2,20.74,10.25,2.54,23.09,55.24,5.87
135,6,PI,1,20.82,11.63,3.21,22.77,54.27,5.73
135,6,PI,2,20.33,10.17,2.66,33.38,46.97,4.47
136,6,PI,1,22.45,11.19,3.49,26.8,50.71,5.45
136,6,PI,2,20.36,11.52,3.11,18.5,57.69,7.2
137,6,PI,1,20.61,11.4,3.91,22.94,53.34,5.98
137,6,PI,2,20.7,10.33,3.41,28.46,51.13,4.32
138,6,PI,1,21.47,11.17,3.08,24.44,53.26,5.76
138,6,PI,2,20.52,10.67,2.48,22.18,56.29,5.86
139,6,PI,1,20.83,11.13,2.74,18.44,57.46,6.84
139,6,PI,2,20.82,10.25,2.82,30.35,48.95,4.99
140,6,PI,1,21.32,11.33,3.14,17.97,58.26,7.12
140,6,PI,2,21.45,10.55,3.07,23.77,54.4,5.83
175,5,PI,1,19.75,10.59,3.31,17.95,59.4,6.31
175,5,PI,2,20.68,10.25,3.2,23.26,57.83,5.85
141,4,PI,1,19.71,11.74,3.15,23.38,52.98,6.29
141,4,PI,2,19.39,10.87,2.98,27.09,50.54,6.09
147,6,PI,1,19.87,10.11,3.31,30.43,48.05,5.48
147,6,PI,2,19.8,9.05,2.83,44.26,37.08,4.41
172,6,PI,1,20.97,9.44,3.39,30.74,49.74,4.16
172,6,PI,2,20.52,8.94,2.64,37.32,44.23,4.46
142,4,PI,1,21.49,11.19,4.57,27.23,49.39,4.87
142,4,PI,2,22.12,10.23,4.02,27.96,50.6,4.73
143,5,PI,1,21.32,9.33,4.23,26.87,52.23,4.98
143,5,PI,2,20.9,8.84,4.01,31.8,48.34,4.62
176,6,PI,1,21.55,11.09,2.65,26.95,51.4,5.61
176,6,PI,2,20.6,10.02,2.33,33.19,47.28,4.78
145,5,PI,1,20.16,12.01,3.93,21.04,53.21,7.41
145,5,PI,2,20.58,11.2,3.56,19.32,56.52,7.27
167,3,PI,1,18.15,9.82,3.24,20.93,57.99,5.55
167,3,PI,2,20.4,10.56,2.6,20.41,58.18,5.98
1,5,PI,1,20.42,12.07,3.45,17.3,57.64,7.16
1,5,PI,2,19.66,11.13,3.2,25.28,50.48,6.52
5,4,PI,1,21.05,10.55,2.99,19.66,56.33,6.01
5,4,PI,2,18.86,11.01,3.34,35.07,49.98,4.55
130,3,PI,1,18.25,11.36,2.81,17.03,58.39,7.82
130,3,PI,2,19.48,10.7,2.54,26.88,50.65,6.57
131,3,PI,1,18.56,10.58,3.63,15.36,60.6,7.76
131,3,PI,2,21.26,10.32,3.18,16.19,60.46,7.92
132,3,PI,1,18.81,11.61,3.69,18.88,55.76,7.74
132,3,PI,2,19.82,11.88,3.9,19.13,55.48,7.4
134,3,PI,1,19.81,10.7,3.1,20.58,57.02,6.13
134,3,PI,2,21.52,11.07,3.09,21.96,55.02,6.29
